,자치구,대여소ID,대여소번호,대여소명,대여소번호명,거치대수,주소1,주소2,위도,경도,행정동
78,성동구,ST-366,565,옥수역 3번출구,565. 옥수역 3번출구,19.0,서울특별시 성동구 옥수동 192-2,,37.54136658,127.01776123,옥수동
79,성동구,ST-369,568,청계8가 사거리 B,568. 청계8가 사거리 B,14.0,서울특별시 동대문구 청계천로 417,청계8가사거리 부근,37.57110214,127.02355957,왕십리도선동
80,성동구,ST-370,569,응봉현대아파트 정류소,569. 응봉현대아파트 정류소,10.0,서울특별시 성동구 독서당로 381,응봉동현대아파트 정류소,37.54958344,127.03024292,응봉동
81,성동구,ST-371,578,성동세무서 부근,578. 성동세무서 부근,8.0,서울특별시 성동구 광나루로 297 성동세무서,,37.54829025,127.06246185,송정동
82,성동구,ST-372,579,마장역 4번출구,579. 마장역 4번출구,8.0,서울특별시 성동구 마장로 292-1,마장역 4번출구,37.56520462,127.04184723,마장동
83,성동구,ST-375,582,경일중학교 앞,582. 경일중학교 앞,10.0,서울특별시 성동구 성수일로 27,경일중학교 앞,37.54317856,127.0490799,성수1가1동
84,성동구,ST-376,583,청계천 생태교실 앞,583. 청계천 생태교실 앞,25.0,서울특별시 성동구 마장로39길 51,청계천 생태교실 앞,37.56797028,127.04689026,마장동
85,성동구,ST-446,585,성수2가1동 공영주차장 인근,585. 성수2가1동 공영주차장 인근,9.0,서울특별시 성동구 성수동2가 569-3,성수2가1동 공영주차장 인근,37.53680801,127.05548859,성수2가1동
86,성동구,ST-447,586,마장동 주민센터,586. 마장동 주민센터,10.0,서울특별시 성동구 마장로42길 14,마장동 주민센터,37.56594086,127.0453949,마장동
87,성동구,ST-482,587,유니베라 앞,587. 유니베라 앞,10.0,서울특별시 성동구 성수동2가 276-5,KEB하나은행 성수중앙지점,37.54541779,127.05264282,성수2가3동
88,성동구,ST-506,589,성수역3번출구,589. 성수역3번출구,8.0,서울특별시 성동구 아차산로 100,성수동2가 315-105,37.54415894,127.05665588,성수2가3동
89,성동구,ST-967,594,중랑물재생센터(서울새활용플라자),594. 중랑물재생센터(서울새활용플라자),15.0,서울특별시 성동구 자동차시장길 49,중랑물재생센터,37.55830383,127.05805969,용답동
